crypto,MAE,MSE,RMSE,MAPE (%),R2
BTC,1253.107269434731,3696508.8704538587,1922.6307160902893,2.6327917165636454,0.983424851614163
ETH,66.16341219427409,9746.161871313116,98.72265125751595,2.6244329363337657,0.9781929537640595
BNB,12.089278606363132,386.7360898501429,19.665606775539445,3.0946812107339947,0.9800409119650009
ADA,0.018276211479053946,0.0007835369285217589,0.027991729645053354,3.971987669250951,0.9655844486772781
SOL,4.467462511014307,49.286839020802084,7.020458604735312,5.394141098974884,0.9842148202004539
XRP,0.019865540342217998,0.0012036320586465065,0.03469340079390469,3.366578404348227,0.7649853947303114
LTC,2.9716893635753014,19.754836253321677,4.44464129636146,3.7413585898788613,0.8604458025962864
LINK,0.6338638995136423,0.8011994492673352,0.8950974523856803,4.933904168791795,0.9657717703565192
DOGE,0.004645815513071677,6.585329102964002e-05,0.008115004068368667,4.0972539982786085,0.9596422295243172
SHIB,6.935266184543184e-07,2.693468679066889e-12,1.6411790514952625e-06,4.296716308203424,0.9578912221699794
MANA,0.021243377678270385,0.0009932625805420213,0.031516068608600616,4.641703076848476,0.9197349276143183
VET,0.0013303706428918244,4.113562376769737e-06,0.002028191898408466,4.501265661781346,0.9646711838304856
XMR,3.5497637028955964,33.91850082055839,5.823959204918798,2.492817833907442,0.8734807505538944
BCH,18.46105239157241,1036.13913723279,32.189115198041556,5.669760557847832,0.9262445552673858
AVAX,1.5893510996265725,6.150441917149304,2.480008451023767,5.3899291243402345,0.972240770482964
TRX,0.004093401436647978,2.5626292233016775e-05,0.005062241818899684,3.746898839239586,0.9327657898993502
MATIC,0.03218842885591042,0.001996037529086455,0.04467703581356372,4.086630298278191,0.9288877708852974
CRO,0.0036327234030177225,3.6822222845750446e-05,0.00606813174261654,3.725452985393997,0.9671509361068592
RNDR,0.3710510796419337,0.41479563395028013,0.6440462979866277,6.382769907998073,0.9607540817194538
XTZ,0.03680726209642156,0.0028451332687105956,0.05333979066991729,3.808074844018222,0.9357603763571172
BAT,0.009677238253428054,0.0001941893439495748,0.013935183671181905,4.075258300404957,0.9095777354111476
SC,0.0004694954633366155,9.398563115688443e-07,0.0009694618670008864,6.1535746691138975,0.907772807455315
FTM,0.026773163590705265,0.0022024357427738264,0.04693011552056767,5.444528992540103,0.9621657129862375
DCR,0.8056329703420212,1.567859762763987,1.2521420697205197,4.31144237633085,0.9158177091805086
MKR,77.95703610067385,15945.040489422963,126.27367298618887,4.070969470118987,0.9729640270855391
ATOM,0.36323823480092027,0.24673604102408792,0.4967253174784711,3.8994351015275646,0.9150629044036938
STX,0.09800001391448297,0.02768242897972927,0.16638037438270556,5.8983439963654485,0.970611414916844
XLM,0.004207937595354799,4.620987398799845e-05,0.0067977844911410994,3.3777052359255153,0.7522176637924205
QNT,3.9096889040373615,30.80989507363187,5.550666182867771,3.5415063842645353,0.8023510380006363
NEO,0.5375571801735888,0.7942062642272133,0.8911825089324932,4.2803879338147315,0.9404462197884401
